user,item,ranks,norm_ranks,test_year
59,238,1951.0,1944.0,2008
59,517,319.0,317.0,2008
59,1118,685.0,682.0,2008
59,1534,1622.0,1615.0,2008
59,1703,,,2008
60,416,270.0,270.0,2008
64,1829,,,2008
64,1830,,,2008
64,1831,,,2008
64,1156,111.0,111.0,2008
64,1823,,,2008
66,51,41.0,41.0,2008
66,1889,19.0,19.0,2008
66,1888,,,2008
66,1887,,,2008
66,1886,125.0,123.0,2008
66,1885,87.0,85.0,2008
66,1884,,,2008
66,1883,211.0,207.0,2008
66,1881,40.0,39.0,2008
66,1878,128.0,123.0,2008
66,1122,110.0,106.0,2008
66,1073,91.0,87.0,2008
66,1014,100.0,95.0,2008
66,1879,105.0,99.0,2008
66,1001,228.0,217.0,2008
66,59,139.0,129.0,2008
66,61,93.0,88.0,2008
66,1013,30.0,29.0,2008
66,85,72.0,68.0,2008
66,99,113.0,102.0,2008
66,72,116.0,104.0,2008
66,880,,,2008
66,993,39.0,37.0,2008
66,997,51.0,46.0,2008
66,874,94.0,84.0,2008
66,1882,28.0,27.0,2008
66,1898,,,2008
66,1890,299.0,277.0,2008
66,1880,,,2008
66,68,13.0,13.0,2008
66,1892,86.0,77.0,2008
66,1893,,,2008
66,1902,,,2008
66,1891,49.0,42.0,2008
66,1896,,,2008
66,98,42.0,35.0,2008
66,1894,,,2008
68,1938,,,2008
70,497,247.0,247.0,2008
70,517,73.0,73.0,2008
70,1873,284.0,282.0,2008
70,1974,267.0,265.0,2008
70,1975,,,2008
70,1981,,,2008
70,1984,,,2008
71,1348,,,2008
73,1001,66.0,66.0,2008
73,724,348.0,347.0,2008
73,877,141.0,140.0,2008
73,2038,,,2008
73,997,59.0,59.0,2008
73,2029,274.0,271.0,2008
73,533,27.0,27.0,2008
73,1073,208.0,204.0,2008
73,1089,140.0,137.0,2008
73,1502,785.0,777.0,2008
73,620,344.0,337.0,2008
73,1890,1106.0,1096.0,2008
73,2027,521.0,512.0,2008
73,68,479.0,470.0,2008
73,2034,1065.0,1053.0,2008
73,441,25.0,25.0,2008
73,995,916.0,903.0,2008
73,2033,,,2008
73,229,11.0,11.0,2008
73,51,6.0,6.0,2008
73,30,548.0,534.0,2008
73,986,743.0,728.0,2008
73,851,205.0,197.0,2008
73,91,1026.0,1007.0,2008
73,2031,,,2008
73,19,1037.0,1017.0,2008
73,2037,,,2008
73,998,54.0,50.0,2008
73,2026,,,2008
73,2030,495.0,480.0,2008
73,2043,,,2008
76,2087,,,2008
76,2093,,,2008
76,397,,,2008
76,2086,,,2008
76,2104,,,2008
76,2111,,,2008
78,603,187.0,187.0,2008
78,744,204.0,203.0,2008
78,1222,681.0,679.0,2008
78,1745,,,2008
78,2145,,,2008
78,2146,,,2008
78,2149,,,2008
78,2153,,,2008
78,2158,,,2008
78,2161,,,2008
78,2174,,,2008
81,2217,,,2008
81,2228,,,2008
81,2219,,,2008
81,2239,,,2008
81,2259,,,2008
83,2298,,,2008
83,2301,1419.0,1419.0,2008
83,2317,,,2008
83,2318,,,2008
83,2319,,,2008
83,2322,,,2008
90,2467,,,2008
90,172,22.0,22.0,2008
90,2440,,,2008
90,2447,,,2008
90,2454,,,2008
90,734,,,2008
90,2451,,,2008
90,2468,,,2008
90,2459,,,2008
91,631,,,2008
91,859,114.0,114.0,2008
91,2026,,,2008
91,2470,1192.0,1191.0,2008
91,2472,,,2008
91,2481,,,2008
91,2493,1437.0,1435.0,2008
92,89,,,2008
96,966,616.0,616.0,2008
96,68,479.0,479.0,2008
96,85,653.0,651.0,2008
96,99,85.0,85.0,2008
96,220,34.0,34.0,2008
96,952,613.0,610.0,2008
96,2551,,,2008
96,999,915.0,909.0,2008
96,2556,397.0,395.0,2008
96,2554,291.0,289.0,2008
96,51,6.0,6.0,2008
96,2568,,,2008
96,982,118.0,115.0,2008
96,2571,1694.0,1683.0,2008
96,1076,593.0,586.0,2008
96,215,376.0,371.0,2008
96,2562,272.0,268.0,2008
96,332,1404.0,1390.0,2008
97,432,217.0,217.0,2008
97,2587,,,2008
97,755,,,2008
97,2573,,,2008
97,2582,,,2008
97,2577,,,2008
99,65,9.0,9.0,2008
106,2685,,,2008
106,2700,,,2008
106,2733,,,2008
106,2680,,,2008
106,2718,,,2008
106,2710,,,2008
111,432,646.0,646.0,2008
111,969,966.0,965.0,2008
111,1191,,,2008
111,2819,,,2008
111,2820,129.0,129.0,2008
111,2810,,,2008
111,2829,,,2008
112,2833,,,2008
116,2916,,,2008
117,1892,6.0,6.0,2008
117,1008,312.0,311.0,2008
117,72,1.0,1.0,2008
117,91,452.0,449.0,2008
117,1001,93.0,91.0,2008
117,193,3.0,2.0,2008
117,2031,,,2008
117,1014,91.0,88.0,2008
117,1004,40.0,37.0,2008
117,998,24.0,21.0,2008
117,2933,,,2008
117,994,357.0,349.0,2008
117,51,19.0,16.0,2008
117,187,36.0,31.0,2008
117,180,84.0,77.0,2008
117,59,2.0,1.0,2008
117,294,713.0,699.0,2008
117,2936,41.0,33.0,2008
117,157,213.0,201.0,2008
117,67,278.0,265.0,2008
117,55,966.0,948.0,2008
117,1883,210.0,198.0,2008
117,467,1066.0,1046.0,2008
117,2937,,,2008
117,96,75.0,66.0,2008
117,192,177.0,164.0,2008
117,2935,880.0,859.0,2008
117,2934,,,2008
117,2554,99.0,86.0,2008
117,997,22.0,17.0,2008
117,999,78.0,67.0,2008
117,1026,,,2008
117,2938,31.0,24.0,2008
117,2939,,,2008
117,100,148.0,131.0,2008
117,2183,1192.0,1163.0,2008
117,429,33.0,25.0,2008
117,377,1230.0,1199.0,2008
117,268,,,2008
124,954,1317.0,1317.0,2008
124,1044,3.0,3.0,2008
124,72,239.0,238.0,2008
124,173,6.0,5.0,2008
124,187,665.0,662.0,2008
124,1061,54.0,52.0,2008
124,3051,,,2008
124,3053,1797.0,1791.0,2008
124,707,140.0,137.0,2008
124,3050,,,2008
124,7,40.0,38.0,2008
124,63,399.0,393.0,2008
124,486,4.0,3.0,2008
129,89,,,2008
129,289,2.0,2.0,2008
135,1066,609.0,609.0,2008
135,1300,138.0,138.0,2008
135,3184,381.0,380.0,2008
136,294,27.0,27.0,2008
136,318,9.0,9.0,2008
136,1459,22.0,21.0,2008
136,538,132.0,129.0,2008
137,67,91.0,91.0,2008
137,1135,,,2008
142,59,14.0,14.0,2008
142,1083,109.0,108.0,2008
142,3277,,,2008
143,2079,,,2008
143,2444,735.0,735.0,2008
149,159,12.0,12.0,2008
149,198,47.0,46.0,2008
149,300,,,2008
149,342,1756.0,1754.0,2008
149,366,640.0,638.0,2008
149,488,1430.0,1427.0,2008
149,966,616.0,614.0,2008
149,972,1534.0,1529.0,2008
151,3381,,,2008
153,2370,1163.0,1163.0,2008
153,3419,,,2008
153,3417,629.0,629.0,2008
153,3406,,,2008
153,3405,,,2008
153,2006,228.0,228.0,2008
153,3424,,,2008
153,506,166.0,166.0,2008
153,370,651.0,648.0,2008
153,215,376.0,374.0,2008
153,188,173.0,172.0,2008
153,174,602.0,598.0,2008
153,854,83.0,83.0,2008
153,3423,,,2008
153,3410,,,2008
153,162,1619.0,1610.0,2008
153,3418,,,2008
156,163,16.0,16.0,2008
156,207,28.0,27.0,2008
156,1806,1070.0,1068.0,2008
159,64,98.0,98.0,2008
159,1601,1653.0,1652.0,2008
159,1505,862.0,861.0,2008
159,906,663.0,662.0,2008
159,792,579.0,578.0,2008
159,504,225.0,224.0,2008
159,467,1182.0,1177.0,2008
159,332,1404.0,1398.0,2008
159,301,224.0,223.0,2008
159,299,39.0,39.0,2008
159,296,170.0,168.0,2008
159,292,26.0,26.0,2008
159,279,,,2008
159,265,254.0,248.0,2008
159,294,619.0,611.0,2008
159,3503,,,2008
159,155,65.0,63.0,2008
159,90,,,2008
159,257,49.0,47.0,2008
159,72,1.0,1.0,2008
159,70,147.0,141.0,2008
159,241,1335.0,1319.0,2008
159,3502,985.0,970.0,2008
159,3500,,,2008
159,220,34.0,32.0,2008
159,302,,,2008
159,182,52.0,47.0,2008
159,67,8.0,7.0,2008
159,65,9.0,7.0,2008
159,1937,,,2008
159,2521,1435.0,1412.0,2008
159,247,,,2008
159,221,232.0,218.0,2008
159,3501,614.0,597.0,2008
159,189,,,2008
159,511,32.0,28.0,2008
162,289,70.0,70.0,2008
170,1281,464.0,464.0,2008
170,3719,,,2008
170,2744,264.0,264.0,2008
170,2151,1630.0,1628.0,2008
170,2148,1314.0,1312.0,2008
170,3722,930.0,928.0,2008
170,1131,46.0,46.0,2008
170,3729,1232.0,1228.0,2008
170,1099,364.0,362.0,2008
170,918,62.0,61.0,2008
170,841,116.0,114.0,2008
170,707,30.0,30.0,2008
170,2369,395.0,389.0,2008
170,1119,122.0,118.0,2008
170,234,202.0,197.0,2008
170,1521,,,2008
170,842,779.0,769.0,2008
173,2786,1169.0,1169.0,2008
175,344,,,2008
175,3588,,,2008
175,3581,,,2008
175,2468,,,2008
175,2457,,,2008
175,2454,,,2008
175,2453,,,2008
175,2449,,,2008
175,2443,,,2008
175,2442,1178.0,1178.0,2008
175,2439,,,2008
175,2437,1397.0,1396.0,2008
175,1447,,,2008
175,364,,,2008
175,360,356.0,356.0,2008
175,356,,,2008
175,3600,,,2008
175,3606,,,2008
177,206,635.0,635.0,2008
177,943,234.0,234.0,2008
177,2381,,,2008
177,227,166.0,166.0,2008
177,152,65.0,65.0,2008
177,163,53.0,53.0,2008
177,188,174.0,171.0,2008
177,436,200.0,196.0,2008
177,599,295.0,289.0,2008
177,724,30.0,30.0,2008
177,917,6.0,6.0,2008
177,959,97.0,93.0,2008
177,1412,8.0,7.0,2008
177,1426,,,2008
177,1941,790.0,778.0,2008
177,2624,156.0,150.0,2008
185,3911,,,2008
187,3936,,,2008
187,997,59.0,59.0,2008
187,3939,,,2008
187,98,106.0,105.0,2008
187,163,16.0,16.0,2008
187,227,4.0,4.0,2008
187,1062,133.0,129.0,2008
187,1886,185.0,180.0,2008
187,3264,253.0,247.0,2008
187,3940,,,2008
189,173,36.0,36.0,2008
189,190,3.0,3.0,2008
189,436,40.0,38.0,2008
189,707,30.0,29.0,2008
189,2206,,,2008
189,230,92.0,88.0,2008
189,493,246.0,241.0,2008
189,498,37.0,34.0,2008
189,517,73.0,68.0,2008
189,540,63.0,58.0,2008
189,982,118.0,110.0,2008
190,3762,,,2008
190,3950,,,2008
190,3955,,,2008
190,803,,,2008
190,3173,1262.0,1262.0,2008
190,3980,,,2008
190,1081,302.0,302.0,2008
193,56,97.0,97.0,2008
193,72,1.0,1.0,2008
193,4023,,,2008
196,51,6.0,6.0,2008
196,857,158.0,157.0,2008
196,1090,67.0,66.0,2008
196,172,87.0,85.0,2008
196,182,52.0,51.0,2008
196,1810,207.0,202.0,2008
196,534,243.0,237.0,2008
196,436,40.0,39.0,2008
196,1412,103.0,98.0,2008
196,229,11.0,10.0,2008
196,234,202.0,194.0,2008
196,424,71.0,66.0,2008
196,298,206.0,196.0,2008
196,220,34.0,32.0,2008
196,65,9.0,8.0,2008
196,1239,175.0,164.0,2008
196,207,28.0,25.0,2008
196,538,163.0,151.0,2008
196,154,5.0,5.0,2008
196,716,191.0,176.0,2008
196,982,118.0,106.0,2008
196,599,24.0,20.0,2008
196,965,490.0,468.0,2008
196,498,37.0,30.0,2008
196,1977,,,2008
196,709,57.0,47.0,2008
196,2637,,,2008
196,227,4.0,4.0,2008
196,190,3.0,3.0,2008
198,830,353.0,353.0,2008
211,233,169.0,169.0,2008
217,917,501.0,501.0,2008
217,1206,734.0,733.0,2008
217,1369,211.0,211.0,2008
217,2026,,,2008
217,2343,406.0,405.0,2008
217,4397,,,2008
220,4440,,,2008
225,785,1822.0,1822.0,2008
225,949,280.0,280.0,2008
225,1260,,,2008
225,1364,1652.0,1651.0,2008
225,2970,890.0,889.0,2008
225,1533,,,2008
225,4506,,,2008
225,3549,,,2008
225,2744,264.0,264.0,2008
225,1099,364.0,362.0,2008
225,2961,558.0,555.0,2008
225,4501,,,2008
230,456,347.0,347.0,2008
230,4556,,,2008
235,954,16.0,16.0,2008
238,4626,,,2008
241,370,368.0,368.0,2008
241,4162,,,2008
241,503,106.0,106.0,2008
241,710,,,2008
241,1803,568.0,566.0,2008
241,4695,,,2008
243,67,8.0,8.0,2008
243,2544,161.0,160.0,2008
243,71,263.0,261.0,2008
243,962,552.0,549.0,2008
243,172,87.0,86.0,2008
243,906,663.0,658.0,2008
243,55,58.0,57.0,2008
243,2083,,,2008
243,1098,23.0,22.0,2008
243,238,112.0,108.0,2008
243,3460,528.0,521.0,2008
243,65,9.0,8.0,2008
243,546,,,2008
243,155,65.0,61.0,2008
243,72,1.0,1.0,2008
243,58,127.0,119.0,2008
243,298,206.0,196.0,2008
243,3502,985.0,970.0,2008
255,4852,492.0,492.0,2008
255,238,112.0,112.0,2008
255,2145,,,2008
257,1294,,,2008
262,1726,,,2008
262,4951,,,2008
263,187,41.0,41.0,2008
264,69,3.0,3.0,2008
264,4993,,,2008
264,174,117.0,116.0,2008
264,1464,19.0,18.0,2008
264,4075,,,2008
264,1292,1350.0,1347.0,2008
266,533,27.0,27.0,2008
266,1384,1220.0,1219.0,2008
266,203,56.0,55.0,2008
266,221,232.0,230.0,2008
266,229,11.0,11.0,2008
266,65,9.0,9.0,2008
266,4996,,,2008
266,182,52.0,49.0,2008
267,300,,,2008
267,378,20.0,20.0,2008
267,498,37.0,36.0,2008
273,930,177.0,177.0,2008
273,1541,589.0,588.0,2008
273,527,553.0,552.0,2008
274,1,,,2008
274,5076,,,2008
274,3324,501.0,501.0,2008
274,5089,917.0,916.0,2008
274,2102,,,2008
274,374,346.0,346.0,2008
274,375,299.0,299.0,2008
274,1910,,,2008
274,8,1464.0,1460.0,2008
274,5077,,,2008
274,5078,,,2008
274,5083,1934.0,1929.0,2008
274,5087,,,2008
274,5095,,,2008
274,157,105.0,105.0,2008
274,1713,169.0,168.0,2008
274,72,1.0,1.0,2008
275,5097,,,2008
281,917,18.0,18.0,2008
281,5162,,,2008
283,52,368.0,368.0,2008
285,854,83.0,83.0,2008
285,542,516.0,515.0,2008
285,932,1498.0,1496.0,2008
285,957,130.0,129.0,2008
297,1231,255.0,255.0,2008
297,2532,,,2008
297,212,250.0,250.0,2008
298,1045,487.0,487.0,2008
298,208,322.0,322.0,2008
298,903,121.0,121.0,2008
298,2591,,,2008
298,209,19.0,19.0,2008
298,324,,,2008
298,4385,1170.0,1166.0,2008
298,1763,,,2008
298,3205,,,2008
298,5429,863.0,859.0,2008
299,65,9.0,9.0,2008
299,67,8.0,8.0,2008
299,289,2.0,2.0,2008
299,903,121.0,118.0,2008
299,1048,200.0,196.0,2008
299,1556,,,2008
299,3200,257.0,252.0,2008
299,331,412.0,406.0,2008
299,538,163.0,159.0,2008
299,1609,,,2008
300,705,,,2008
307,1269,,,2008
307,5500,,,2008
307,5499,,,2008
307,5507,,,2008
307,5504,,,2008
307,1255,876.0,876.0,2008
307,5505,,,2008
307,5515,,,2008
307,5348,,,2008
307,5491,,,2008
307,5347,,,2008
307,5501,,,2008
307,5514,,,2008
307,5358,1284.0,1283.0,2008
307,1288,,,2008
307,5492,,,2008
307,5495,,,2008
312,3324,26.0,26.0,2008
312,5561,,,2008
312,399,,,2008
317,234,202.0,202.0,2008
317,734,,,2008
317,1639,131.0,131.0,2008
317,1804,574.0,572.0,2008
317,4541,,,2008
317,5615,,,2008
317,5617,,,2008
317,5619,,,2008
320,5659,,,2008
320,5664,,,2008
326,2080,639.0,639.0,2008
328,5740,,,2008
328,5743,,,2008
328,5738,,,2008
328,5742,,,2008
329,55,58.0,58.0,2008
329,71,263.0,262.0,2008
329,97,,,2008
329,229,11.0,11.0,2008
329,288,31.0,30.0,2008
329,289,2.0,2.0,2008
329,292,26.0,24.0,2008
329,295,35.0,31.0,2008
329,906,663.0,656.0,2008
329,3866,,,2008
333,289,2.0,2.0,2008
334,225,52.0,52.0,2008
334,5783,,,2008
335,204,323.0,323.0,2008
336,238,112.0,112.0,2008
336,517,73.0,73.0,2008
336,2771,,,2008
336,5799,,,2008
337,1524,,,2008
339,289,2.0,2.0,2008
346,207,28.0,28.0,2008
346,542,516.0,515.0,2008
346,300,,,2008
346,424,71.0,70.0,2008
346,1160,,,2008
355,6006,,,2008
358,88,1447.0,1447.0,2008
358,6055,,,2008
360,6076,,,2008
361,55,58.0,58.0,2008
361,294,619.0,618.0,2008
361,790,320.0,319.0,2008
361,1451,,,2008
361,257,49.0,49.0,2008
361,288,31.0,31.0,2008
361,289,2.0,2.0,2008
361,292,26.0,25.0,2008
361,308,1409.0,1402.0,2008
361,309,441.0,435.0,2008
361,333,7.0,6.0,2008
361,349,110.0,104.0,2008
363,2956,,,2008
364,162,1619.0,1619.0,2008
364,211,1047.0,1047.0,2008
364,1709,1658.0,1656.0,2008
364,715,120.0,120.0,2008
364,1164,606.0,605.0,2008
364,3747,,,2008
364,1779,,,2008
364,6143,,,2008
364,418,149.0,148.0,2008
364,615,102.0,102.0,2008
364,2265,535.0,532.0,2008
364,6144,,,2008
364,6137,954.0,949.0,2008
364,1755,943.0,938.0,2008
364,159,12.0,12.0,2008
364,624,,,2008
364,438,,,2008
364,433,256.0,252.0,2008
364,6145,,,2008
364,2460,,,2008
364,6141,,,2008
364,1639,131.0,128.0,2008
364,3203,758.0,750.0,2008
364,6139,,,2008
364,190,3.0,3.0,2008
364,718,194.0,188.0,2008
364,5416,829.0,818.0,2008
364,6142,,,2008
365,4123,,,2008
365,6149,,,2008
366,6184,,,2008
374,51,6.0,6.0,2008
377,15,19.0,19.0,2008
380,67,105.0,105.0,2008
380,285,70.0,70.0,2008
380,288,6.0,6.0,2008
380,292,3.0,3.0,2008
380,295,1.0,1.0,2008
380,299,7.0,4.0,2008
380,332,79.0,74.0,2008
380,349,5.0,3.0,2008
380,465,21.0,16.0,2008
380,4883,63.0,57.0,2008
380,6308,,,2008
382,1619,1005.0,1005.0,2008
382,6322,,,2008
387,6376,,,2008
387,67,8.0,8.0,2008
387,6379,,,2008
387,6377,,,2008
387,6373,,,2008
387,4732,1720.0,1719.0,2008
387,6384,,,2008
387,6385,,,2008
387,1155,618.0,617.0,2008
387,316,96.0,95.0,2008
387,279,,,2008
387,262,,,2008
387,437,,,2008
387,251,,,2008
387,6382,,,2008
387,2220,1320.0,1317.0,2008
387,2521,1435.0,1431.0,2008
388,289,1707.0,1707.0,2008
388,377,1481.0,1481.0,2008
388,378,1417.0,1417.0,2008
388,1686,,,2008
388,2014,1202.0,1202.0,2008
388,2944,,,2008
388,4105,,,2008
388,6391,1023.0,1023.0,2008
388,6399,,,2008
388,6402,,,2008
388,6056,,,2008
388,6077,,,2008
388,6393,,,2008
388,6394,,,2008
388,6396,,,2008
388,6401,,,2008
390,2523,227.0,227.0,2008
394,3746,,,2008
394,5226,,,2008
394,6475,,,2008
397,1713,169.0,169.0,2008
402,868,79.0,79.0,2008
405,300,,,2008
405,314,193.0,193.0,2008
405,329,223.0,222.0,2008
405,638,,,2008
405,89,,,2008
405,312,,,2008
405,257,49.0,49.0,2008
405,6311,,,2008
405,289,2.0,2.0,2008
405,292,26.0,25.0,2008
405,6568,,,2008
406,2016,,,2008
406,6570,,,2008
406,4790,656.0,656.0,2008
406,4675,315.0,315.0,2008
406,3788,1675.0,1673.0,2008
406,3481,156.0,156.0,2008
406,3264,253.0,252.0,2008
406,2654,1117.0,1113.0,2008
406,2151,1630.0,1625.0,2008
406,1425,1912.0,1905.0,2008
406,6579,,,2008
406,506,166.0,165.0,2008
406,1413,90.0,90.0,2008
406,227,4.0,4.0,2008
406,188,173.0,169.0,2008
406,163,16.0,15.0,2008
406,2006,228.0,222.0,2008
406,6572,,,2008
406,920,107.0,104.0,2008
406,3272,,,2008
406,6571,,,2008
406,3421,,,2008
406,964,1503.0,1491.0,2008
406,2624,497.0,487.0,2008
406,152,99.0,96.0,2008
406,190,3.0,3.0,2008
406,186,605.0,592.0,2008
406,1837,,,2008
408,1090,67.0,67.0,2008
420,67,8.0,8.0,2008
420,1464,301.0,300.0,2008
420,4880,821.0,819.0,2008
420,6700,,,2008
420,6701,,,2008
420,6704,,,2008
420,6705,,,2008
420,6706,,,2008
421,67,8.0,8.0,2008
421,913,211.0,210.0,2008
421,543,,,2008
421,525,53.0,52.0,2008
421,349,110.0,108.0,2008
421,333,7.0,7.0,2008
421,327,,,2008
421,320,184.0,180.0,2008
421,2523,227.0,221.0,2008
421,311,633.0,626.0,2008
421,314,193.0,188.0,2008
421,306,93.0,90.0,2008
421,295,35.0,33.0,2008
421,292,26.0,24.0,2008
421,291,15.0,13.0,2008
421,289,2.0,2.0,2008
421,288,31.0,26.0,2008
421,257,49.0,42.0,2008
421,310,29.0,24.0,2008
421,4069,239.0,223.0,2008
421,302,,,2008
421,903,121.0,109.0,2008
421,907,894.0,875.0,2008
424,2838,861.0,861.0,2008
424,6753,,,2008
426,6755,,,2008
431,843,702.0,702.0,2008
439,6898,,,2008
439,1613,,,2008
439,2252,,,2008
439,267,400.0,400.0,2008
439,6889,,,2008
439,6888,,,2008
439,6620,,,2008
439,6899,,,2008
439,475,907.0,906.0,2008
439,271,194.0,194.0,2008
439,1839,,,2008
439,6893,,,2008
439,6891,,,2008
439,1636,329.0,328.0,2008
439,527,1173.0,1169.0,2008
439,2916,,,2008
439,2927,,,2008
439,6619,,,2008
439,2906,765.0,762.0,2008
439,6892,,,2008
439,2931,191.0,191.0,2008
439,6886,,,2008
439,278,,,2008
439,2915,,,2008
439,2904,,,2008
440,606,,,2008
440,223,1894.0,1894.0,2008
440,1633,,,2008
441,6915,,,2008
441,4734,,,2008
442,6936,,,2008
443,212,135.0,135.0,2008
447,7031,,,2008
450,1412,103.0,103.0,2008
450,4251,1303.0,1302.0,2008
452,7062,,,2008
452,7066,,,2008
453,7071,,,2008
454,18736,,,2008
458,187,50.0,50.0,2008
459,710,,,2008
459,1358,77.0,77.0,2008
460,53,1964.0,1964.0,2008
460,418,1602.0,1602.0,2008
460,603,1422.0,1422.0,2008
460,1098,1888.0,1886.0,2008
460,1700,,,2008
460,1736,,,2008
460,7121,,,2008
461,227,4.0,4.0,2008
461,511,32.0,31.0,2008
461,734,,,2008
462,7150,,,2008
467,7234,,,2008
468,889,459.0,459.0,2008
468,1772,1364.0,1363.0,2008
468,1242,152.0,152.0,2008
468,1889,1636.0,1633.0,2008
468,5425,,,2008
469,188,173.0,173.0,2008
469,488,1430.0,1429.0,2008
474,2509,,,2008
474,7298,,,2008
474,67,8.0,8.0,2008
474,70,147.0,146.0,2008
474,72,1.0,1.0,2008
474,289,2.0,1.0,2008
474,1009,377.0,373.0,2008
474,1099,364.0,360.0,2008
474,1394,512.0,506.0,2008
474,1401,,,2008
474,7294,,,2008
475,1090,67.0,67.0,2008
475,1652,,,2008
475,3617,,,2008
478,1206,283.0,283.0,2008
485,7383,,,2008
492,903,121.0,121.0,2008
492,1980,,,2008
492,1097,108.0,108.0,2008
492,1804,574.0,572.0,2008
492,7250,,,2008
492,1772,1364.0,1361.0,2008
492,7323,1271.0,1268.0,2008
492,6540,,,2008
492,230,92.0,92.0,2008
492,7439,,,2008
492,1112,1266.0,1262.0,2008
492,7426,,,2008
492,2632,515.0,512.0,2008
492,227,4.0,4.0,2008
492,7435,,,2008
492,7425,,,2008
492,2616,236.0,232.0,2008
493,1072,592.0,592.0,2008
493,5483,,,2008
493,72,1.0,1.0,2008
493,5486,,,2008
496,504,225.0,225.0,2008
496,522,1695.0,1694.0,2008
496,959,55.0,55.0,2008
496,1295,174.0,173.0,2008
496,4317,1044.0,1041.0,2008
496,6282,1305.0,1301.0,2008
496,190,3.0,3.0,2008
496,1914,1103.0,1098.0,2008
496,7454,,,2008
498,285,75.0,75.0,2008
498,331,776.0,775.0,2008
507,207,28.0,28.0,2008
507,2029,274.0,273.0,2008
507,5236,,,2008
507,5237,,,2008
507,7547,,,2008
507,227,4.0,4.0,2008
507,7550,,,2008
507,7534,,,2008
507,7551,,,2008
507,7527,,,2008
507,7525,754.0,751.0,2008
507,7535,,,2008
507,7546,,,2008
507,7529,,,2008
507,5247,,,2008
507,7536,,,2008
507,5238,,,2008
507,5235,,,2008
507,7548,,,2008
507,7549,,,2008
507,429,13.0,12.0,2008
507,7524,,,2008
507,7538,,,2008
